key,module,page,component,slot,text,notes,status
trend.zoom.insight.massive,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_massive,"Industrial scale. A {{peak}} peak and throughput that never cools. At this volume you are not using the model, you are running a foundry.",,active
heatmap.title,ui,ActivityHeatmap,ActivityHeatmap,title,Activity Heatmap,,active
heatmap.empty,ui,ActivityHeatmap,ActivityHeatmap,empty_state,No activity data yet.,,active
heatmap.legend.less,ui,ActivityHeatmap,ActivityHeatmap,legend_less,Less,,active
heatmap.legend.more,ui,ActivityHeatmap,ActivityHeatmap,legend_more,More,,active
heatmap.legend.utc,ui,ActivityHeatmap,ActivityHeatmap,legend_utc,UTC,,active
heatmap.tooltip,ui,ActivityHeatmap,ActivityHeatmap,tooltip,{{day}} • {{value}} {{unit}} • {{tz}},,active
heatmap.unit.tokens,ui,ActivityHeatmap,ActivityHeatmap,unit_tokens,tokens,,active
heatmap.iso.aria,ui,ActivityHeatmap,ActivityHeatmap3D,iso_aria,3D isometric activity heatmap,,active
heatmap.view.2d,ui,ActivityHeatmap,ActivityHeatmap,view_2d,2D,,active
heatmap.view.3d,ui,ActivityHeatmap,ActivityHeatmap,view_3d,3D,,active
heatmap.month.jan,ui,ActivityHeatmap,ActivityHeatmap,month_label,Jan,,active
heatmap.month.feb,ui,ActivityHeatmap,ActivityHeatmap,month_label,Feb,,active
heatmap.month.mar,ui,ActivityHeatmap,ActivityHeatmap,month_label,Mar,,active
heatmap.month.apr,ui,ActivityHeatmap,ActivityHeatmap,month_label,Apr,,active
heatmap.month.may,ui,ActivityHeatmap,ActivityHeatmap,month_label,May,,active
heatmap.month.jun,ui,ActivityHeatmap,ActivityHeatmap,month_label,Jun,,active
heatmap.month.jul,ui,ActivityHeatmap,ActivityHeatmap,month_label,Jul,,active
heatmap.month.aug,ui,ActivityHeatmap,ActivityHeatmap,month_label,Aug,,active
heatmap.month.sep,ui,ActivityHeatmap,ActivityHeatmap,month_label,Sep,,active
heatmap.month.oct,ui,ActivityHeatmap,ActivityHeatmap,month_label,Oct,,active
heatmap.month.nov,ui,ActivityHeatmap,ActivityHeatmap,month_label,Nov,,active
heatmap.month.dec,ui,ActivityHeatmap,ActivityHeatmap,month_label,Dec,,active
heatmap.day.sun,ui,ActivityHeatmap,ActivityHeatmap,day_label,Sun,,active
heatmap.day.mon,ui,ActivityHeatmap,ActivityHeatmap,day_label,Mon,,active
heatmap.day.tue,ui,ActivityHeatmap,ActivityHeatmap,day_label,Tue,,active
heatmap.day.wed,ui,ActivityHeatmap,ActivityHeatmap,day_label,Wed,,active
heatmap.day.thu,ui,ActivityHeatmap,ActivityHeatmap,day_label,Thu,,active
heatmap.day.fri,ui,ActivityHeatmap,ActivityHeatmap,day_label,Fri,,active
heatmap.day.sat,ui,ActivityHeatmap,ActivityHeatmap,day_label,Sat,,active
daily.sort.date.label,dashboard,DashboardPage,DailyTable,sort_label,Date,,active
daily.sort.date.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Date,,active
daily.sort.total.label,dashboard,DashboardPage,DailyTable,sort_label,Total,,active
daily.sort.total.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Total,,active
daily.sort.input.label,dashboard,DashboardPage,DailyTable,sort_label,Input,,active
daily.sort.input.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Input,,active
daily.sort.output.label,dashboard,DashboardPage,DailyTable,sort_label,Output,,active
daily.sort.output.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Output,,active
daily.sort.cached.label,dashboard,DashboardPage,DailyTable,sort_label,Cached,,active
daily.sort.cached.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Cached input,,active
daily.sort.reasoning.label,dashboard,DashboardPage,DailyTable,sort_label,Reasoning,,active
daily.sort.reasoning.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Reasoning output,,active
daily.sort.conversations.label,dashboard,DashboardPage,DailyTable,sort_label,Convs,,active
daily.sort.conversations.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Conversations,,active
daily.sort.cost.label,dashboard,DashboardPage,DailyTable,sort_label,Cost,,active
daily.sort.cost.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Cost,,active
daily.sort.cost_per_mtok.label,dashboard,DashboardPage,DailyTable,sort_label,$/MTok,,active
daily.sort.cost_per_mtok.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Cost per million tokens,,active
daily.sort.top_model.label,dashboard,DashboardPage,DailyTable,sort_label,Top model,,active
daily.sort.top_model.title,dashboard,DashboardPage,DailyTable,sort_title,Sort by Top model,,active
details.pagination.prev,dashboard,DashboardPage,DailyTable,pagination_prev,Prev,,active
details.pagination.next,dashboard,DashboardPage,DailyTable,pagination_next,Next,,active
limits.copilot.otelHint.title,dashboard,LimitsPage,LimitsPage,otel_hint_title,Track Copilot token usage,,active
limits.copilot.otelHint.body,dashboard,LimitsPage,LimitsPage,otel_hint_body,"Limits load via your GitHub OAuth token. To also record per-token usage, enable Copilot's OpenTelemetry export and add these lines to your shell profile (~/.zshrc or ~/.bashrc):",,active
limits.copilot.otelHint.copy,dashboard,LimitsPage,LimitsPage,otel_hint_copy,Copy,,active
limits.copilot.otelHint.copied,dashboard,LimitsPage,LimitsPage,otel_hint_copied,Copied,,active
dashboard.session_expired.copy_label,dashboard,DashboardPage,AsciiBox,body,run npx --yes @ipv9/tokentracker-cli init,,active
dashboard.session_expired.copied,dashboard,DashboardPage,AsciiBox,body,copied,,active
dashboard.install.prompt,dashboard,DashboardPage,AsciiBox,install_prompt,Install Node.js 18+ then run:,,active
dashboard.install.cmd.init,dashboard,DashboardPage,AsciiBox,install_cmd,npx --yes @ipv9/tokentracker-cli init,,active
dashboard.install.cmd.init_link_code,dashboard,DashboardPage,AsciiBox,install_cmd,npx --yes @ipv9/tokentracker-cli init --link-code {{link_code}},,active
dashboard.install.copy,dashboard,DashboardPage,AsciiBox,install_copy,Copy install command,,active
dashboard.install.copy_base,dashboard,DashboardPage,AsciiBox,install_copy,Copy init command,,active
dashboard.install.copied,dashboard,DashboardPage,AsciiBox,install_copy,Copied to clipboard,,active
dashboard.install.link_code.loading,dashboard,DashboardPage,AsciiBox,install_status,Generating private code...,,active
dashboard.install.link_code.failed,dashboard,DashboardPage,AsciiBox,install_status,Private code unavailable,,active
dashboard.install.cmd.sync,dashboard,DashboardPage,AsciiBox,install_cmd,npx --yes @ipv9/tokentracker-cli sync,,active
dashboard.daily.title,dashboard,DashboardPage,AsciiBox,title,Daily Breakdown,,active
dashboard.daily.empty,dashboard,DashboardPage,AsciiBox,empty_state,No data yet. Use your AI CLI then run {{cmd}}.,,active
dashboard.data_health.day_empty_has_recent,dashboard,DashboardPage,DashboardView,data_health_day_recent,No tokens in today's local day. Last 7 days has {{tokens}} tokens; switch to 7d or 30d to review recent usage.,,active
dashboard.data_health.period_empty_has_30d,dashboard,DashboardPage,DashboardView,data_health_period_30d,No tokens in this range. Last 30 days has {{tokens}} tokens; widen the range to review recent usage.,,active
dashboard.data_health.month_empty_has_30d,dashboard,DashboardPage,DashboardView,data_health_month_30d,No tokens in this calendar month yet. Last 30 days has {{tokens}} tokens.,,active
dashboard.data_health.no_recent_data,dashboard,DashboardPage,DashboardView,data_health_no_recent,No recent token data found. Run sync or check status to confirm readable tool logs.,,active
dashboard.identity.title,dashboard,DashboardPage,IdentityCard,title,Your Profile,,active
dashboard.identity.subtitle,dashboard,DashboardPage,IdentityCard,subtitle,Track your coding journey,,active
dashboard.identity.fallback,dashboard,DashboardPage,IdentityCard,handle_fallback,Anonymous,,active
dashboard.screenshot.title_line1,dashboard,DashboardPage,ScreenshotTitle,title_line,Coding Agent,,active
dashboard.screenshot.title_line2,dashboard,DashboardPage,ScreenshotTitle,title_line,2025 Wrapped,,active
nav.usage,shared,*,Sidebar,nav_usage,Tokens,,active
nav.limits,shared,*,Sidebar,nav_limits,Limits,,active
nav.collapse,shared,*,Sidebar,nav_collapse,Collapse sidebar,,active
nav.expand,shared,*,Sidebar,nav_expand,Expand sidebar,,active
nav.menu,shared,*,Sidebar,nav_menu,Open navigation menu,,active
nav.close_menu,shared,*,Sidebar,nav_close_menu,Close navigation menu,,active
nav.aside_label,shared,*,Sidebar,aside_label,Main navigation,,active
nav.nav_label,shared,*,Sidebar,nav_label,Primary,,active
nav.version,shared,*,Sidebar,version,Token Tracker version {{version}},,active
limits.page.subtitle,ui,LimitsPage,LimitsPage,subtitle,Rate limits and quota usage across your AI tools.,,active
limits.settings.toggle_visible,ui,LimitsPage,LimitsSettingsPanel,toggle_visible,Toggle visibility,,active
limits.settings.display_mode_label,ui,LimitsPage,LimitsSettingsPanel,display_mode_label,Usage,,active
limits.settings.display_mode_used,ui,LimitsPage,LimitsSettingsPanel,display_mode_used,Used,,active
limits.settings.display_mode_remaining,ui,LimitsPage,LimitsSettingsPanel,display_mode_remaining,Remaining,,active
limits.page.openSettings,ui,LimitsPage,LimitsPage,open_settings,Display settings,,active
nav.group.general,shared,*,Sidebar,group_general,General,,active
nav.group.tools,shared,*,Sidebar,group_tools,Tools,,active
nav.group.account,shared,*,Sidebar,group_account,Account,,active
nav.settings,shared,*,Sidebar,nav_settings,Settings,,active
settings.page.title,ui,SettingsPage,SettingsPage,title,Settings,,active
settings.page.subtitle,ui,SettingsPage,SettingsPage,subtitle,Manage appearance and display preferences.,,active
settings.section.appearance,ui,SettingsPage,SettingsPage,sec_appearance,Appearance,,active
settings.section.account,ui,SettingsPage,SettingsPage,sec_account,Account,,active
settings.section.limits,ui,SettingsPage,SettingsPage,sec_limits,Limits Display,,active
settings.appearance.theme.label,ui,SettingsPage,SettingsPage,theme_label,Theme,,active
settings.appearance.theme.hint,ui,SettingsPage,SettingsPage,theme_hint,Choose how Token Tracker looks across the dashboard.,,active
settings.appearance.theme.light,ui,SettingsPage,SettingsPage,theme_light,Light,,active
settings.appearance.theme.dark,ui,SettingsPage,SettingsPage,theme_dark,Dark,,active
settings.appearance.theme.system,ui,SettingsPage,SettingsPage,theme_system,System,,active
settings.appearance.currency.label,ui,SettingsPage,SettingsPage,currency_label,Currency,,active
settings.appearance.currency.hint,ui,SettingsPage,SettingsPage,currency_hint,Select the display currency for usage costs.,,active
settings.appearance.currency.opt.usd,ui,SettingsPage,SettingsPage,currency_opt_usd,USD ($),,active
settings.appearance.currency.opt.eur,ui,SettingsPage,SettingsPage,currency_opt_eur,EUR (€),,active
settings.appearance.currency.opt.gbp,ui,SettingsPage,SettingsPage,currency_opt_gbp,GBP (£),,active
settings.appearance.currency.opt.cny,ui,SettingsPage,SettingsPage,currency_opt_cny,CNY (¥),,active
settings.appearance.currency.opt.jpy,ui,SettingsPage,SettingsPage,currency_opt_jpy,JPY (¥),,active
settings.appearance.currency.opt.hkd,ui,SettingsPage,SettingsPage,currency_opt_hkd,HKD (HK$),,active
settings.appearance.currency.rate_source.default,ui,SettingsPage,SettingsPage,rate_source_default,Bundled default rate,,active
settings.appearance.currency.rate_source.fetched,ui,SettingsPage,SettingsPage,rate_source_fetched,Source: open.er-api.com,,active
settings.appearance.currency.rate_updated,ui,SettingsPage,SettingsPage,rate_updated,updated {{when}},,active
settings.appearance.currency.rate_never,ui,SettingsPage,SettingsPage,rate_never,awaiting first refresh,,active
stats.period.today,ui,DashboardPage,StatsPanel,period_today,today convs,,active
stats.period.last24h,ui,DashboardPage,StatsPanel,period_last24h,24h convs,,active
stats.period.week,ui,DashboardPage,StatsPanel,period_week,7d convs,,active
stats.period.month,ui,DashboardPage,StatsPanel,period_month,30d convs,,active
stats.period.this_month,ui,DashboardPage,StatsPanel,period_this_month,month,,active
stats.period.all,ui,DashboardPage,StatsPanel,period_all,all convs,,active
stats.period.convs,ui,DashboardPage,StatsPanel,period_convs,convs,,active
usage.period.day,ui,DashboardPage,UsageOverview,period_day,Day,,active
usage.period.last24h,ui,DashboardPage,UsageOverview,period_last24h,24h,,active
usage.period.week,ui,DashboardPage,UsageOverview,period_week,7d,,active
usage.period.month,ui,DashboardPage,UsageOverview,period_month,30d,,active
usage.period.total,ui,DashboardPage,UsageOverview,period_total,Total,,active
usage.period.custom,ui,DashboardPage,UsageOverview,period_custom,Custom,,active
usage.overview.tablist_aria,ui,DashboardPage,UsageOverview,tablist_aria,Time period,,active
usage.auto_refresh.aria,ui,DashboardPage,UsageOverview,auto_refresh_aria,Auto refresh interval,,active
usage.auto_refresh.off,ui,DashboardPage,UsageOverview,auto_refresh_off,Off,,active
usage.auto_refresh.30s,ui,DashboardPage,UsageOverview,auto_refresh_30s,30s,,active
usage.auto_refresh.60s,ui,DashboardPage,UsageOverview,auto_refresh_60s,60s,,active
usage.auto_refresh.120s,ui,DashboardPage,UsageOverview,auto_refresh_120s,120s,,active
usage.overview.cost_breakdown_aria,ui,DashboardPage,UsageOverview,cost_breakdown_aria,View cost breakdown,,active
usage.overview.distribution_aria,ui,DashboardPage,UsageOverview,distribution_aria,Provider distribution: {{items}},,active
usage.overview.distribution_item,ui,DashboardPage,UsageOverview,distribution_item,{{label}} {{percent}}%,,active
usage.overview.provider_card_aria,ui,DashboardPage,UsageOverview,provider_card_aria,"{{provider}}: {{percent}}%, {{tokens}} tokens, {{cost}}. Click to {{action}} details",,active
usage.overview.expand,ui,DashboardPage,UsageOverview,expand,expand,,active
usage.overview.collapse,ui,DashboardPage,UsageOverview,collapse,collapse,,active
usage.overview.model_count,ui,DashboardPage,UsageOverview,model_count,{{count}} models,,active
usage.overview.model_chip,ui,DashboardPage,UsageOverview,model_chip,{{model}} {{percent}}%,,active
usage.overview.model_percent,ui,DashboardPage,UsageOverview,model_percent,{{percent}}%,,active
usage.overview.model_more,ui,DashboardPage,UsageOverview,model_more,+{{count}} more,,active
usage.overview.cost_per_mtok,ui,DashboardPage,UsageOverview,cost_per_mtok,{{value}},,active
usage.overview.top_cost_model,ui,DashboardPage,UsageOverview,top_cost_model,Top cost {{model}},,active
usage.overview.top_usage_model,ui,DashboardPage,UsageOverview,top_usage_model,Top usage {{model}},,active
usage.overview.missing_pricing_count,ui,DashboardPage,UsageOverview,missing_pricing_count,{{count}} pricing missing,,active
usage.overview.provider_top_cost,ui,DashboardPage,UsageOverview,provider_top_cost,Top cost: {{model}},,active
usage.overview.provider_missing_pricing,ui,DashboardPage,UsageOverview,provider_missing_pricing,{{count}} pricing missing,,active
usage.overview.provider_limit,ui,DashboardPage,UsageOverview,provider_limit,{{label}} · {{percent}}%,,active
usage.overview.provider_limit_reset,ui,DashboardPage,UsageOverview,provider_limit_reset,{{label}} · {{percent}}% · resets in {{reset}},,active
usage.overview.provider_limit_count,ui,DashboardPage,UsageOverview,provider_limit_count,{{used}}/{{limit}},,active
usage.overview.provider_limit_counted,ui,DashboardPage,UsageOverview,provider_limit_counted,{{label}} · {{used}} of {{limit}} ({{percent}}%),,active
usage.overview.provider_limit_counted_reset,ui,DashboardPage,UsageOverview,provider_limit_counted_reset,{{label}} · {{used}} of {{limit}} ({{percent}}%) · resets in {{reset}},,active
usage.overview.model_details_aria,ui,DashboardPage,UsageOverview,model_details_aria,{{provider}} model details,,active
usage.overview.antigravity_notice_title,ui,DashboardPage,UsageOverview,antigravity_notice_title,Estimated tokens,,active
usage.overview.antigravity_notice_body,ui,DashboardPage,UsageOverview,antigravity_notice_body,"Antigravity transcripts don't record real usage numbers. These counts are estimated from text length (~4 chars/token) and don't reflect Gemini's prompt-cache discount, so treat them as an upper bound, not a billing figure.",,active
limits.panel.title,ui,LimitsPage,UsageLimitsPanel,title,Usage Limits,,active
limits.panel.mode_separator,ui,LimitsPage,UsageLimitsPanel,title_separator, · ,,active
limits.label.cursor_plan,ui,LimitsPage,UsageLimitsPanel,cursor_plan,Plan,,active
limits.label.cursor_auto,ui,LimitsPage,UsageLimitsPanel,cursor_auto,Auto,,active
limits.label.cursor_api,ui,LimitsPage,UsageLimitsPanel,cursor_api,API,,active
limits.label.kiro_month,ui,LimitsPage,UsageLimitsPanel,kiro_month,Month,,active
limits.label.kiro_bonus,ui,LimitsPage,UsageLimitsPanel,kiro_bonus,Bonus,,active
limits.label.kimi_weekly,ui,LimitsPage,UsageLimitsPanel,kimi_weekly,Weekly,,active
limits.label.kimi_5h,ui,LimitsPage,UsageLimitsPanel,kimi_5h,5h,,active
limits.label.kimi_total,ui,LimitsPage,UsageLimitsPanel,kimi_total,Total,,active
limits.label.kimi_parallel,ui,LimitsPage,UsageLimitsPanel,kimi_parallel,Parallel: {{count}},,active
limits.label.zai_5h,ui,LimitsPage,UsageLimitsPanel,zai_5h,5h,,active
limits.label.zai_weekly,ui,LimitsPage,UsageLimitsPanel,zai_weekly,Weekly,,active
limits.label.zai_mcp,ui,LimitsPage,UsageLimitsPanel,zai_mcp,MCP,,active
limits.label.copilot_premium,ui,LimitsPage,UsageLimitsPanel,copilot_premium,Premium,,active
limits.label.copilot_chat,ui,LimitsPage,UsageLimitsPanel,copilot_chat,Chat,,active
limits.status.not_connected,ui,LimitsPage,UsageLimitsPanel,status_not_connected,Not connected,,active
limits.status.no_data,ui,LimitsPage,UsageLimitsPanel,status_no_data,No live limit data returned,,active
limits.status.cached,ui,LimitsPage,UsageLimitsPanel,status_cached,Showing latest cached quota while live refresh is temporarily limited.,,active
limits.status.all_hidden,ui,LimitsPage,UsageLimitsPanel,status_all_hidden,All limit providers are hidden. Open display settings to show them.,,active
shared.time.now,shared,*,Shared,time_now,now,,active
nav.ip_check,shared,*,Sidebar,nav_ip_check,Claude IP Check,,active
nav.skills,shared,*,Sidebar,nav_skills,Skills,,active
skills.page.title,ui,SkillsPage,SkillsPage,title,Skills,,active
skills.tab.my,ui,SkillsPage,SkillsPage,tab_my,My Skills,,active
skills.tab.browse,ui,SkillsPage,SkillsPage,tab_browse,Browse,,active
skills.action.refresh,ui,SkillsPage,SkillsPage,action_refresh,Refresh,,active
skills.action.install,ui,SkillsPage,SkillCard,action_install,Install,,active
skills.action.choose_targets,ui,SkillsPage,SkillCard,action_choose_targets,Choose targets,,active
skills.target.menu_label,ui,SkillsPage,SkillCard,target_menu_label,Install to,,active
skills.target.none,ui,SkillsPage,SkillsPage,target_none,no targets,,active
skills.toast.installed,ui,SkillsPage,SkillsPage,toast_installed,Installed {{name}} to {{targets}}.,,active
skills.action.remove,ui,SkillsPage,SkillsPage,action_remove,Remove,,active
skills.action.search,ui,SkillsPage,SkillsPage,action_search,Search,,active
skills.action.search_aria,ui,SkillsPage,SkillsPage,action_search_aria,Search skills,,active
skills.target.synced_summary,ui,SkillsPage,InstalledSkillRow,target_synced_summary,Synced to {{targets}},,active
skills.target.synced_none,ui,SkillsPage,InstalledSkillRow,target_synced_none,Not synced to any agent,,active
skills.row.open_details,ui,SkillsPage,InstalledSkillRow,row_open_details,Open details for {{name}},,active
skills.detail.close,ui,SkillsPage,SkillDetailPanel,detail_close,Close details,,active
skills.detail.sync_section_title,ui,SkillsPage,SkillDetailPanel,detail_sync_section_title,Sync to,,active
skills.detail.remove_button,ui,SkillsPage,SkillDetailPanel,detail_remove_button,Remove from all agents,,active
skills.detail.remove_confirm_hint,ui,SkillsPage,SkillDetailPanel,detail_remove_confirm_hint,This unsyncs the skill from every agent and deletes its local copy.,,active
skills.filter.agent_label,ui,SkillsPage,SkillsPage,filter_agent_label,Agent,,active
skills.filter.agent_all,ui,SkillsPage,SkillsPage,filter_agent_all,All agents,,active
